session,role,group,despiked_pct,n_windows
S-A5,test,A,11.183261183261184,8497
S-A6,test,A,12.169446544446544,8462
S-A7,test,A,11.869586396918908,4376
S-A8,test,A,11.817752383249662,6630
S-M,train,M,10.819981201067085,6132
S-S1,train,S,10.755581365337463,5162
S-S2,train,S,10.432923046785726,9185
S-S3a,train,S,11.25916870415648,2450
S-S3b,train,S,2.8561652357844967,2675
S-S3c,train,S,11.401617250673853,3706
S-Vfa01,train,Vfa,11.1685655857435,1137
S-Vfa02,train,Vfa,11.297597170351928,6744
S-Vta10,train,Vta,12.106481481481483,140
S-Vta14,train,Vta,11.109181428736829,284
S-Vta15,train,Vta,10.835453774385071,75
S-Vta16,train,Vta,11.760442551177377,1123
S-Vta17,train,Vta,11.561797752808989,441
S-Vta1a,train,Vta,9.884045550751171,2564
S-Vta1b,train,Vta,10.140350877192983,91
S-Vta2,train,Vta,9.612869871970318,1093
S-Vta20,train,Vta,11.869002920317063,316
S-Vta21,train,Vta,10.994123408423114,201
S-Vta22,train,Vta,11.964085297418631,145
S-Vta23,train,Vta,11.817325800376647,103
S-Vta24,train,Vta,12.00880758807588,95
S-Vta26,train,Vta,11.935877330545392,188
S-Vta27,train,Vta,11.793214862681744,244
S-Vta28,train,Vta,11.483892505424805,396
S-Vta29,train,Vta,11.67885783546855,2362
S-Vta30,train,Vta,12.330726126546814,1710
S-Vta4,train,Vta,11.882022471910112,174
S-Vta6,train,Vta,11.544227886056973,130
S-Vta7,train,Vta,11.305070656691605,77
S-Vta8,train,Vta,12.154031287605296,357
S-Vtb1,train,Vtb,9.295515136542837,3235
S-Vtb2,train,Vtb,12.089181026825369,559
S-Vtb5,train,Vtb,11.770037080769788,6433
S-Vw11,train,Vw,12.02763385146805,479
S-Vw12,train,Vw,11.466821885913852,82
S-Vw14a,train,Vw,11.838709677419356,306
S-Vw14b,train,Vw,11.842262056755699,1955
S-Vw14c,train,Vw,12.170617125774076,1557
S-Vw16a,train,Vw,12.248274288322209,581
S-Vw16b,train,Vw,11.23959296947271,105
S-Vw2,train,Vw,11.270618915600117,5263
S-Vw3,train,Vw,11.845579532004006,363
S-Vw4,train,Vw,11.794306224256655,12645
S-Vw5,train,Vw,12.573707943114812,93
S-Vw6,train,Vw,11.701277955271564,122
S-Vw7,train,Vw,11.699346405228757,149
S-Vw8,train,Vw,12.04861111111111,140
S-T10,validate,T,12.179775280898877,664
S-T11,validate,T,12.132531584062196,545
S-T2,validate,T,11.3451354013454,7543
S-T3,validate,T,11.450387584905076,6458
S-T7,validate,T,10.545867384325208,10141
S-T8,validate,T,11.073517644786579,4829
S-T9,validate,T,10.6093032957864,7986
