session,s_rows,v_rows,row_counts_equal,r_at_row0,peak_r,best_lag_rows,best_lag_ms,n_samples,note,speed_correlation
M,105974,105974,True,0.625818764629656,0.7495881005450682,10.0,1000.0,105974.0,,0.953399712887944
S1,51746,51746,True,0.4937785804249042,0.5392636056129294,3.0,300.0,51746.0,,0.9315253519969798
S2,93876,93876,True,0.14201261433852638,0.5614252418205132,87.0,8700.0,93876.0,,0.9606628647037353
S3a,24621,24621,True,0.2750789161348188,0.8086267642070126,-67.0,-6700.0,24621.0,,0.962455381057664
S3b,6813,6813,True,0.27838921967598534,0.383794954687896,48.0,4800.0,6813.0,,0.7720251270066065
S3c,37183,37183,True,0.7011829854367307,0.7857349950687851,5.0,500.0,37183.0,,0.9833676299085831
S4,94600,94600,True,0.1320433901926306,0.2414750697225083,19.0,1900.0,94600.0,,0.5197492628543229
Y1,70285,70285,True,0.015299246861664053,0.020345074100348366,41.0,4100.0,70285.0,,0.1106564261300432
Vfa01,11486,11535,False,-0.015183301137738673,0.24994366672575902,53.0,5300.0,11486.0,,0.9773486714743865
Vfa02,67523,67755,False,0.06347969381789637,0.2122225985280467,89.0,8900.0,67523.0,,0.9844974329339105
Vw1,20476,20475,False,-0.08965878013205202,-0.12677095592367205,-21.0,-2100.0,20475.0,,
Vw10,652,652,True,0.49954499782366324,0.49954499782366324,0.0,0.0,652.0,,0.8515562077281291
Vw11,4909,4909,True,0.22654211697487223,0.4064095361025361,18.0,1800.0,4909.0,,0.9732487588044816
Vw12,918,918,True,-0.11817790830327618,-0.21927046554945026,81.0,8100.0,918.0,,0.9289646569572413
Vw13,284,284,True,,,,,,only 284 usable rows,
Vw14a,3138,3138,True,0.04674352593906831,0.12203911820289787,52.0,5200.0,3138.0,,0.8848430355870867
Vw14b,19588,19588,True,-0.00479735013135677,0.09703266044631234,42.0,4200.0,19588.0,,0.9911668104739509
Vw14c,15826,15826,True,0.10674994877075843,0.290927867177275,23.0,2300.0,15826.0,,0.98373797503449
Vw15,1380,1391,False,0.02487507472873453,0.3720995266429753,11.0,1100.0,1380.0,,
Vw16a,5879,5879,True,0.05632543018589966,0.34088031407000263,-99.0,-9900.0,5879.0,,0.9245487632117809
Vw16b,1126,1126,True,0.38124744817487155,0.4143988841101864,1.0,100.0,1126.0,,0.968003203853212
Vw17,329,329,True,,,,,,only 329 usable rows,
Vw2,52713,52712,False,0.16189346863661241,0.3091414630748906,22.0,2200.0,52712.0,,0.9821111947265635
Vw3,3861,3861,True,0.3314923125124262,0.3525806647254426,4.0,400.0,3861.0,,0.9268295929591415
Vw4,126526,126527,False,0.1876819072158573,0.23602651475864625,6.0,600.0,126526.0,,0.9858303561491368
Vw5,1012,1012,True,-0.28483358544080867,0.42006515390124277,32.0,3200.0,1012.0,,0.6962223818059048
Vw6,1281,1281,True,0.10509592720986473,0.13569566160839816,-11.0,-1100.0,1281.0,,0.5230777683067837
Vw7,1602,1602,True,-0.03872823584060874,0.206836199492417,-82.0,-8200.0,1602.0,,0.3222318033041604
Vw8,1529,1529,True,0.06981950495817597,0.1785446333937484,100.0,10000.0,1529.0,,0.7065407299741319
