session,role,group,offset_ms,mean_displacement_m,mean_abs_label_diff_m,pct_of_mean_displacement,n_labels,note
S-M,train,M,0,16.6391806833169,0.0,0.0,61341,
S-M,train,M,100,16.6391806833169,1.45054112375673,8.717623489785767,61340,
S-M,train,M,-100,16.6391806833169,1.45054112375673,8.717623489785767,61340,
S-M,train,M,250,16.6391806833169,2.9011049667152706,17.435383519959206,61339,
S-M,train,M,-250,16.6391806833169,2.9011049667152706,17.435383519959206,61339,
S-M,train,M,500,16.6391806833169,7.25293282192546,43.58948291965803,61336,
S-M,train,M,-500,16.6391806833169,7.25293282192546,43.58948291965803,61336,
S-M,train,M,1000,16.6391806833169,14.506433735075307,87.18238001718456,61331,
S-M,train,M,-1000,16.6391806833169,14.506433735075307,87.18238001718456,61331,
S-S1,train,S,0,7.210817778553561,0.0,0.0,51650,
S-S1,train,S,100,7.210817778553561,0.02752484912881525,0.38171605460173674,51649,
S-S1,train,S,-100,7.210817778553561,0.02752484912881525,0.38171605460173674,51649,
S-S1,train,S,250,7.210817778553561,0.05505076411978099,0.7634468906358051,51648,
S-S1,train,S,-250,7.210817778553561,0.05505076411978099,0.7634468906358051,51648,
S-S1,train,S,500,7.210817778553561,0.1376349048903661,1.9087280959965498,51645,
S-S1,train,S,-500,7.210817778553561,0.1376349048903661,1.9087280959965498,51645,
S-S1,train,S,1000,7.210817778553561,0.27529646255030105,3.817825814002522,51640,
S-S1,train,S,-1000,7.210817778553561,0.27529646255030105,3.817825814002522,51640,
S-S2,train,S,0,8.035515003820072,0.0,0.0,91877,
S-S2,train,S,100,8.035515003820072,0.0472379296920771,0.5878643704805512,91876,
S-S2,train,S,-100,8.035515003820072,0.0472379296920771,0.5878643704805512,91876,
S-S2,train,S,250,8.035515003820072,0.09446039424826673,1.1755362811638133,91875,
S-S2,train,S,-250,8.035515003820072,0.09446039424826673,1.1755362811638133,91875,
S-S2,train,S,500,8.035515003820072,0.23603499206073697,2.937397191698681,91872,
S-S2,train,S,-500,8.035515003820072,0.23603499206073697,2.937397191698681,91872,
S-S2,train,S,1000,8.035515003820072,0.47168330525888447,5.869982260435665,91867,
S-S2,train,S,-1000,8.035515003820072,0.47168330525888447,5.869982260435665,91867,
S-S3a,train,S,0,10.357636580838719,0.0,0.0,24530,
S-S3a,train,S,100,10.357636580838719,0.026045487165646777,0.25146168203883557,24529,
S-S3a,train,S,-100,10.357636580838719,0.026045487165646777,0.25146168203883557,24529,
S-S3a,train,S,250,10.357636580838719,0.05209309806556168,0.5029438681207657,24528,
S-S3a,train,S,-250,10.357636580838719,0.05209309806556168,0.5029438681207657,24528,
S-S3a,train,S,500,10.357636580838719,0.13024867577355148,1.2575134757528295,24525,
S-S3a,train,S,-500,10.357636580838719,0.13024867577355148,1.2575134757528295,24525,
S-S3a,train,S,1000,10.357636580838719,0.2605504709087385,2.515539803653163,24520,
S-S3a,train,S,-1000,10.357636580838719,0.2605504709087385,2.515539803653163,24520,
S-S3c,train,S,0,11.680895778728075,0.0,0.0,37090,
S-S3c,train,S,100,11.680895778728075,0.026335883098527565,0.22546115980666048,37089,
S-S3c,train,S,-100,11.680895778728075,0.026335883098527565,0.22546115980666048,37089,
S-S3c,train,S,250,11.680895778728075,0.052673186378388775,0.4509344777676316,37088,
S-S3c,train,S,-250,11.680895778728075,0.052673186378388775,0.4509344777676316,37088,
S-S3c,train,S,500,11.680895778728075,0.1316936184661911,1.1274273905090104,37085,
S-S3c,train,S,-500,11.680895778728075,0.1316936184661911,1.1274273905090104,37085,
S-S3c,train,S,1000,11.680895778728075,0.2634227530087704,2.255158833695666,37080,
S-S3c,train,S,-1000,11.680895778728075,0.2634227530087704,2.255158833695666,37080,
S-S4,train,S,0,16.428321293521083,0.0,0.0,55714,
S-S4,train,S,100,16.428321293521083,3.196179228304069,19.455300217220376,55713,
S-S4,train,S,-100,16.428321293521083,3.196179228304069,19.455300217220376,55713,
S-S4,train,S,250,16.428321293521083,6.392436486034711,38.911075403399416,55712,
S-S4,train,S,-250,16.428321293521083,6.392436486034711,38.911075403399416,55712,
S-S4,train,S,500,16.428321293521083,15.981676477805927,97.28125103146539,55709,
S-S4,train,S,-500,16.428321293521083,15.981676477805927,97.28125103146539,55709,
S-S4,train,S,1000,16.428321293521083,31.965304111519835,194.57437884494107,55704,
S-S4,train,S,-1000,16.428321293521083,31.965304111519835,194.57437884494107,55704,
S-Y1,train,Y,0,8.727264429358833,0.0,0.0,66721,
S-Y1,train,Y,100,8.727264429358833,0.12503725664775223,1.4327199279893752,66720,
S-Y1,train,Y,-100,8.727264429358833,0.12503725664775223,1.4327199279893752,66720,
S-Y1,train,Y,250,8.727264429358833,0.24889669643048715,2.851944024901889,66719,
S-Y1,train,Y,-250,8.727264429358833,0.24889669643048715,2.851944024901889,66719,
S-Y1,train,Y,500,8.727264429358833,0.6202801472037053,7.107383444428021,66716,
S-Y1,train,Y,-500,8.727264429358833,0.6202801472037053,7.107383444428021,66716,
S-Y1,train,Y,1000,8.727264429358833,1.2386029156106813,14.192338568818613,66711,
S-Y1,train,Y,-1000,8.727264429358833,1.2386029156106813,14.192338568818613,66711,
S-Vfa01,train,Vfa,0,16.29498310906356,0.0,0.0,11400,
S-Vfa01,train,Vfa,100,16.29498310906356,0.02535296634549709,0.1555875583043429,11399,
S-Vfa01,train,Vfa,-100,16.29498310906356,0.02535296634549709,0.1555875583043429,11399,
S-Vfa01,train,Vfa,250,16.29498310906356,0.050710381359685495,0.3112024174574289,11398,
