# SUPERSEDED — reference-limited. Lags here come from correlating IMU acceleration against d(GPS speed)/dt.
# Differentiating 1 Hz quantised GPS speed caps the achievable correlation: even a perfect ECU
# accelerometer reaches only r = 0.12-0.58 against this reference, versus 0.93 against ECU speed.
# For S- files |r| is ~0.29, so the lag argmax is noise. Use time_offsets_distance.csv instead.
session,role,group,best_lag_ms,peak_correlation,n_samples_used,suspect,multi_axis_R,multi_axis_lag_ms,best_yaw_rad,yaw_drift_rad,yaw_thirds,channel,note,method
S-A4,excluded,A,,,0,True,,,,,,no time column,,accel_correlation
S-I,ood_spotcheck,I,2900.0,-0.09426379458038474,5799,True,0.11988967171529719,3300.0,3.9269908169872414,0.9868640729346717,1.31;5.32;0.26,"levelled (yaw,lag) search",,accel_correlation
S-A1,robustness_2hz,A,5000.0,-0.022126249959078484,29707,True,0.04473131153247725,1100.0,0.0,1.2434517406821004,2.27;3.05;0.35,"levelled (yaw,lag) search",,accel_correlation
S-A10,robustness_2hz,A,-800.0,0.2744431610436422,44425,True,0.2824135295983382,-800.0,3.2288591161895095,1.3339312608038094,2.97;0.44;0.26,"levelled (yaw,lag) search",,accel_correlation
S-A11,robustness_2hz,A,-5000.0,0.08919963012157305,25770,True,0.09542403741741425,-5000.0,0.08726646259971647,1.6672940056945806,2.27;0.35;3.75,"levelled (yaw,lag) search",,accel_correlation
S-A12,robustness_2hz,A,4400.0,-0.0634726525118722,23360,True,0.09604996974203932,4400.0,0.17453292519943295,1.136577717116529,2.88;0.35;1.22,"levelled (yaw,lag) search",,accel_correlation
S-A13,robustness_2hz,A,-4300.0,0.056256760248808386,45915,True,0.05626754093596839,-4300.0,1.3089969389957472,0.5962836364303987,1.83;1.40;0.44,"levelled (yaw,lag) search",,accel_correlation
S-A2,robustness_2hz,A,-3000.0,-0.019540592559306954,58145,True,0.029372071579636835,2400.0,0.6981317007977318,1.20320326911565,0.09;2.71;0.79,"levelled (yaw,lag) search",,accel_correlation
S-A3,robustness_2hz,A,4000.0,-0.017688743313833633,55661,True,0.023324146028634193,3700.0,0.2617993877991494,1.375165229710352,2.79;0.00;0.17,"levelled (yaw,lag) search",,accel_correlation
S-A9,robustness_2hz,A,-800.0,-0.36767792407175326,59805,True,0.39837823984339815,-800.0,0.2617993877991494,0.041142156754615224,0.17;0.26;0.26,"levelled (yaw,lag) search",,accel_correlation
V-M,stage0_only,M,-100.0,0.9276710064514623,105973,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-S1,stage0_only,S,-100.0,0.902305236319587,51745,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-S2,stage0_only,S,-100.0,0.9338576650295796,93875,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-S3a,stage0_only,S,-100.0,0.9320886429788625,24620,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-S3b,stage0_only,S,-100.0,0.9325057024211936,6812,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-S3c,stage0_only,S,-100.0,0.937616306469464,37182,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-S4,stage0_only,S,-100.0,0.923594359412286,94600,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-St1,stage0_only,St,-100.0,0.8936398054623937,57212,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-St4,stage0_only,St,-100.0,0.9090255028151888,13590,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-St6,stage0_only,St,-100.0,0.8970520999598713,51360,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-St7,stage0_only,St,-100.0,0.9183527734524145,45098,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfa01,stage0_only,Vfa,-100.0,0.9469887043006546,11535,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfa02,stage0_only,Vfa,-100.0,0.903970009584036,67755,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb01a,stage0_only,Vfb,-100.0,0.8235143141861706,17000,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb01b,stage0_only,Vfb,-100.0,0.948110446473667,3880,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb01c,stage0_only,Vfb,-100.0,0.9809447510182905,6320,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb01d,stage0_only,Vfb,-100.0,0.89660322153929,10713,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02a,stage0_only,Vfb,-100.0,0.8636976468944199,35960,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02b,stage0_only,Vfb,-100.0,0.9655458930773716,11000,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02c,stage0_only,Vfb,-100.0,0.963889584420626,640,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02d,stage0_only,Vfb,-100.0,0.9962329060865569,880,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02e,stage0_only,Vfb,-100.0,0.9644436694904012,980,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02f,stage0_only,Vfb,-100.0,0.9888573514348079,660,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vfb02g,stage0_only,Vfb,-100.0,0.9155513464541886,27159,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta10,stage0_only,Vta,-100.0,0.9880534099731068,1501,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta11,stage0_only,Vta,-100.0,0.9861610373829781,510,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta12,stage0_only,Vta,-100.0,0.9858405296556596,610,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta13,stage0_only,Vta,-100.0,0.9577153558544195,403,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta14,stage0_only,Vta,-100.0,0.8162172962945996,2884,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta15,stage0_only,Vta,-100.0,0.9529144902777569,832,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta16,stage0_only,Vta,-100.0,0.7896433583065993,11335,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-vta17,stage0_only,Vta,-100.0,0.8036903854393188,4518,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vta18,stage0_only,Vta,,,0,True,,,,,,too few timestamps,,accel_correlation
V-vta19,stage0_only,Vta,,,0,True,,,,,,too few timestamps,,accel_correlation
V-Vta1a,stage0_only,Vta,-100.0,0.9371551455131816,25675,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
V-Vta1b,stage0_only,Vta,-100.0,0.9546299425836526,952,False,,,0.0,,,"levelled (yaw,lag) search",,accel_correlation
