role,run,scenario,n,mae,bias,label_mean
validate,tcn_physics_3s,cornering,2711,10.326667808239556,5.38948951405642,12.790981803075752
validate,tcn_physics_3s,straight,10934,6.397067436103583,-4.1275481727617604,16.8283742151591
validate,tcn_physics_3s,motorway,18336,15.486222517012514,-15.454510709346579,31.990060546233224
validate,tcn_nhc,cornering,2711,7.555528411954702,-5.031123903775594,12.790981803075752
validate,tcn_nhc,straight,10934,5.985671285575775,-3.4813461022237315,16.8283742151591
validate,tcn_nhc,motorway,18336,14.789956312243028,-14.740722663371614,31.990060546233224
test,tcn_physics_3s,cornering,1217,11.939362407332156,11.656676651493957,11.52247399899652
test,tcn_physics_3s,straight,15393,6.189446664853996,4.621608981274409,16.446571331288048
test,tcn_physics_3s,motorway,7560,3.4109743282770744,-1.9706146607712756,26.57625589437696
test,tcn_nhc,cornering,1217,5.267188599985939,-2.0046953290021308,11.52247399899652
test,tcn_nhc,straight,15393,6.429609128591513,4.773511796137883,16.446571331288048
test,tcn_nhc,motorway,7560,3.8811809094351504,-2.4396723554637356,26.57625589437696
