session,role,group,path_ratio,n_windows,label_mean_m,chord_cut_band
S-A5,test,A,1.004356692177834,8490,15.172613448293191,False
S-A6,test,A,1.0196739559904047,8455,21.353007962200646,False
S-A7,test,A,1.0029486520574782,4369,23.84175222695853,False
S-A8,test,A,1.0039024495821278,6623,20.526463779184905,False
S-M,train,M,0.966374178241393,6125,9.890028216054436,False
S-S1,train,S,0.9686243504272735,5155,7.429644637937825,False
S-S2,train,S,0.9962985693222056,9178,8.174373877303182,False
S-S3a,train,S,0.9724338124174966,2443,10.614880405817217,False
S-S3b,train,S,0.9203827367717963,2668,10.49623038217928,False
S-S3c,train,S,0.9868608161287589,3699,11.910444781003202,False
S-Vfa01,train,Vfa,0.9854757701757146,1130,16.557397091414966,False
S-Vfa02,train,Vfa,0.9979726763833985,6737,24.29043927805085,False
S-Vta10,train,Vta,0.9481143395111774,133,24.748825838088123,False
S-Vta14,train,Vta,0.9991192688670335,277,18.86265631748212,False
S-Vta15,train,Vta,0.9750592331210394,68,20.014017971174365,False
S-Vta16,train,Vta,0.9812292662245657,1116,12.092842479062698,False
S-Vta17,train,Vta,1.0070307639798106,434,9.090265959858403,False
S-Vta1a,train,Vta,1.0056437593181775,2557,16.011461194409872,False
S-Vta1b,train,Vta,0.9980883262280927,84,12.840387623399996,False
S-Vta2,train,Vta,1.0063227681726188,1086,10.19319871275728,False
S-Vta20,train,Vta,1.0354920845079025,309,1.2244780726928335,False
S-Vta21,train,Vta,1.1177578502267624,194,13.460485435916162,False
S-Vta22,train,Vta,0.9566944517763714,138,10.850321697506114,False
S-Vta23,train,Vta,0.9546844378960518,96,9.7234218495721,False
S-Vta24,train,Vta,0.9464528786623664,88,6.332816836632957,False
S-Vta26,train,Vta,0.9780540921238192,181,5.30932160771172,False
S-Vta27,train,Vta,0.971041262355168,237,13.09124537540207,False
S-Vta28,train,Vta,1.009351491283712,389,9.814708384558605,False
S-Vta29,train,Vta,0.9954232153130839,2355,11.11553465046715,False
S-Vta30,train,Vta,1.0067800694055942,1703,6.814586036392318,False
S-Vta4,train,Vta,0.992271192550824,167,11.568062362015079,False
S-Vta6,train,Vta,0.9885672841002813,123,19.068208413262493,False
S-Vta7,train,Vta,0.9711888528148194,70,17.828849967284235,False
S-Vta8,train,Vta,0.9507612382953989,350,9.409753531211743,False
S-Vtb1,train,Vtb,1.0826182295371214,3228,11.782910995392395,False
S-Vtb2,train,Vtb,1.000698766143714,552,7.836675489158313,False
S-Vtb5,train,Vtb,1.0004462066797122,6426,17.437970897773482,False
S-Vw11,train,Vw,0.9685838682627465,472,11.74705359285304,False
S-Vw12,train,Vw,0.9793868458271678,75,25.023132630767225,False
S-Vw14a,train,Vw,1.007334870362181,299,25.00930935627141,False
S-Vw14b,train,Vw,1.0019506211182436,1948,20.942034056123184,False
S-Vw14c,train,Vw,0.9856237711809321,1550,10.843394344507105,False
S-Vw16a,train,Vw,1.0053681517212678,574,14.591955029299191,False
S-Vw16b,train,Vw,0.9751610766382665,98,16.182111153805153,False
S-Vw2,train,Vw,0.9947533496196498,5256,18.711484370812016,False
S-Vw3,train,Vw,0.9621062373840052,356,13.466297870522252,False
S-Vw4,train,Vw,0.9916929947978368,12638,16.922406461872352,False
S-Vw5,train,Vw,1.0042926040725597,86,6.458980599497726,False
S-Vw6,train,Vw,1.0659114201990911,115,8.790941780584001,False
S-Vw7,train,Vw,0.9101201011351082,142,7.173606952890457,False
S-Vw8,train,Vw,0.8819477589289316,133,6.7316577315213255,True
S-T10,validate,T,0.990172206404704,657,9.716636712388802,False
S-T11,validate,T,0.9442925032224982,538,4.197793492467633,False
S-T2,validate,T,0.9986251788863587,7536,26.739597015544295,False
S-T3,validate,T,1.0020329428963184,6451,23.416469758304295,False
S-T7,validate,T,0.9992447964726361,10134,24.390544792377693,False
S-T8,validate,T,0.9993436057016718,4822,25.9238162692287,False
S-T9,validate,T,0.9997694086215366,7979,25.76013727176292,False
